instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C108,30,C,6,4,OPTIMAL,78.2495,6,2,2,0,4,0.3333,57.9457,0.0,20.3039,80,0.5,2.0,1.0
030_C108,30,C,6,5,OPTIMAL,112.6278,6,4,3,1,2,0.6667,100.5191,0.0,12.1087,80,0.5,2.0,1.0
030_C108,30,C,6,6,OPTIMAL,171.7754,6,5,3,2,1,0.8333,171.1345,0.0,0.6409,80,0.5,2.0,1.0
030_C108,30,C,6,7,OPTIMAL,143.3147,6,6,2,4,0,1.0,143.3147,0.0,0.0,80,0.5,2.0,1.0
030_C108,30,C,6,8,OPTIMAL,108.2028,6,3,2,1,3,0.5,98.4331,0.0,9.7697,80,0.5,2.0,1.0
030_C108,30,C,6,9,OPTIMAL,112.1106,6,5,1,4,1,0.8333,111.2177,0.0,0.8929,80,0.5,2.0,1.0
030_C109,30,C,2,0,OPTIMAL,64.2961,2,2,2,0,0,1.0,64.2961,0.0,0.0,80,0.5,2.0,1.0
030_C109,30,C,2,1,OPTIMAL,74.1059,2,2,2,0,0,1.0,74.1059,0.0,0.0,80,0.5,2.0,1.0
030_C109,30,C,2,2,OPTIMAL,66.5404,2,2,2,0,0,1.0,66.5404,0.0,0.0,80,0.5,2.0,1.0
030_C109,30,C,2,3,OPTIMAL,5.6097,2,0,0,0,2,0.0,0.0,0.0,5.6097,80,0.5,2.0,1.0
030_C109,30,C,2,4,OPTIMAL,36.1448,2,2,1,1,0,1.0,36.1448,0.0,0.0,80,0.5,2.0,1.0
030_C109,30,C,2,5,OPTIMAL,57.5893,2,2,1,1,0,1.0,57.5893,0.0,0.0,80,0.5,2.0,1.0
030_C109,30,C,2,6,OPTIMAL,55.1365,2,1,1,0,1,0.5,42.9802,0.0,12.1563,80,0.5,2.0,1.0
030_C109,30,C,2,7,OPTIMAL,25.457,2,0,0,0,2,0.0,0.0,0.0,25.457,80,0.5,2.0,1.0
030_C109,30,C,2,8,OPTIMAL,71.0381,2,1,0,1,1,0.5,39.8581,0.0,31.1801,80,0.5,2.0,1.0
030_C109,30,C,2,9,OPTIMAL,34.5889,2,1,0,1,1,0.5,22.2375,0.0,12.3514,80,0.5,2.0,1.0
030_C109,30,C,4,0,OPTIMAL,84.9478,4,3,3,0,1,0.75,77.3948,0.0,7.5531,80,0.5,2.0,1.0
030_C109,30,C,4,1,OPTIMAL,103.6025,4,4,4,0,0,1.0,103.6025,0.0,0.0,80,0.5,2.0,1.0
030_C109,30,C,4,2,OPTIMAL,77.9869,4,2,2,0,2,0.5,58.6592,0.0,19.3278,80,0.5,2.0,1.0
030_C109,30,C,4,3,OPTIMAL,69.797,4,2,2,0,2,0.5,51.9315,0.0,17.8656,80,0.5,2.0,1.0
030_C109,30,C,4,4,OPTIMAL,87.7317,4,4,2,2,0,1.0,87.7317,0.0,0.0,80,0.5,2.0,1.0
030_C109,30,C,4,5,OPTIMAL,118.4875,4,3,3,0,1,0.75,112.8172,0.0,5.6703,80,0.5,2.0,1.0
